max_floor_lvl,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,age_of_block,rental_to_sold_ratio,block_street,mrt_dist,school_dist,mall_dist,upcoming_mrt_dist
16,1,0,0,0,0,142,0,1,138,1,2,0,0,0,0,0,0,0,53,0.006993006993006993,1 BEACH RD,0.0028448809398936327,0.008367810717539746,0.0015502349972134856,0.006844296248396014
14,0,0,1,0,0,206,0,0,204,0,2,0,0,0,0,0,0,0,48,0.004830917874396135,1 BEDOK STH AVE 1,0.003264807841570996,0.0027883679617841054,0.004054049867552244,0.0033130357807997354
15,0,0,0,0,0,102,0,0,0,10,92,0,0,0,0,0,0,0,41,0.009708737864077669,1 CHAI CHEE RD,0.0043574929170279945,0.001472851340506177,0.002478514247298398,0.00431174419405807
4,1,0,0,0,0,55,0,0,54,0,1,0,0,0,0,0,0,0,48,0.017857142857142856,1 CHANGI VILLAGE RD,0.016882412108931648,0.014346034677004018,0.013379967759566852,0.029660455318836293
25,0,0,0,0,0,96,0,0,0,0,96,0,0,0,0,0,0,0,41,0.010309278350515464,1 DELTA AVE,0.0023434949758726364,0.001364490326124528,0.0016818212511307462,0.011233005861482539
12,0,0,1,0,0,125,0,0,118,0,7,0,0,0,0,0,0,0,48,0.007936507936507936,1 DOVER RD,0.002982036464502257,0.001628166705174989,0.0031884402581255807,0.02004255594393295
14,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,247,0,0,46,248.0,1 EUNOS CRES,0.0008943053805423736,0.004195872867077713,0.002508307242986224,0.007576158063368008
12,1,0,0,0,0,95,0,0,62,0,33,0,0,0,0,0,0,0,43,0.010416666666666666,1 EVERTON PK,0.0019217826004146316,0.0019540488036137757,0.0019142822889577063,0.004682310759796658
15,0,0,1,0,0,220,0,0,216,0,4,0,0,0,0,0,0,0,48,0.004524886877828055,1 GHIM MOH RD,0.0025313940992566174,0.0038515965179639297,0.0034602355124040063,0.012711309469727747
15,0,0,1,0,0,219,0,0,213,0,5,0,0,0,0,0,1,0,47,0.0091324200913242,1 HAIG RD,0.0035933296195380746,0.0014836731520458523,0.0034362866673639724,0.006675063665867518
13,0,0,1,0,0,319,0,0,0,0,0,0,0,0,319,0,0,0,50,320.0,1 HOLLAND CL,0.003045593170632786,0.00810324844573951,0.0010318082049724322,0.016969040516382254
14,0,0,1,0,0,204,0,0,200,0,4,0,0,0,0,0,0,0,49,0.004878048780487805,1 HOUGANG AVE 3,0.004581833003771371,0.002816496159856942,0.0048684027717689725,0.02731940928953196
14,1,0,0,0,0,244,0,0,243,0,0,0,0,0,0,0,1,0,49,0.00819672131147541,1 JLN BT MERAH,0.00396745083856685,0.0022245336351383507,0.0011727914034929392,0.01589154788003777
17,0,1,1,0,0,84,0,0,0,0,0,0,0,0,0,56,14,14,54,85.0,1 JLN KUKOH,0.00179333702872904,0.005076854938739574,0.001899724016695356,0.009051621564772945
11,0,0,0,0,0,196,0,0,194,0,2,0,0,0,0,0,0,0,55,0.005076142131979695,1 LOR 7 TOA PAYOH,0.0016732861006829856,0.0010124332254082572,0.007463527339015777,0.023777025498183054
14,0,0,1,0,0,179,0,0,174,0,3,0,0,0,0,0,2,0,46,0.016853932584269662,1 LOR LEW LIAN,0.000949376021909745,0.0025264812793445693,0.0007391676833406422,0.023293106519027173
25,1,0,0,0,0,96,0,0,0,0,96,0,0,0,0,0,0,0,49,0.010309278350515464,1 MARINE TER,0.008466755331334438,0.0007588908148109433,0.0035861643654241343,0.0018045227099445372
11,0,0,1,0,0,159,0,0,158,0,1,0,0,0,0,0,0,0,50,0.00625,1 MARSILING DR,0.003270310872355481,0.0021231968016718794,0.002903004272220523,0.0318197912738322
14,1,0,1,0,0,176,0,0,0,0,0,0,0,0,0,176,0,0,53,177.0,1 MAUDE RD,0.00101161327599387,0.004995682579721344,0.0025407160254635798,0.01101326962531127
19,0,0,0,0,0,156,0,0,0,100,56,0,0,0,0,0,0,0,25,0.006369426751592357,1 PINE CL,0.0016742871821189608,0.0033986134512178,0.005470824627997751,0.007752309056046929
23,0,0,0,0,0,88,0,0,0,0,88,0,0,0,0,0,0,0,49,0.011235955056179775,1 QUEEN'S RD,0.00022854863803952895,0.003589299102886383,0.007197900333558224,0.015652834132379424
13,0,0,0,0,0,118,0,0,68,48,0,2,0,0,0,0,0,0,40,0.008403361344537815,1 TECK WHYE AVE,0.003136221617332203,0.001149634864931637,0.0024955500982357915,0.0028991753913929674
16,1,0,0,0,0,148,0,0,146,0,2,0,0,0,0,0,0,0,50,0.006711409395973154,1 TELOK BLANGAH CRES,0.006403401359905129,0.004277488107121031,0.007429970364481026,0.008591096764529897
4,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,46,9.0,1 THOMSON RD,0.005391519198609493,0.005317752437322749,3.172441837469374e-09,0.021348486631907443
13,0,0,1,0,0,132,0,0,0,72,60,0,0,0,0,0,0,0,36,0.007518796992481203,1 TOH YI DR,0.0013519696867540978,0.0015505741271288516,0.0012995244070545906,0.0073746444428285495
50,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,14,0.0037735849056603774,1A CANTONMENT RD,0.001910702942919511,0.002387963806124154,0.0019115941529916887,0.004944779248471015
2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,42,3.0,1A EUNOS CRES,0.0027657492067021156,0.0052522037033390905,0.004052474926657475,0.006839185952426327
50,0,0,0,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,14,0.0037735849056603774,1B CANTONMENT RD,0.0017868204699456349,0.002364079255198237,0.001788600841481748,0.00485827702923857
50,0,0,0,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,14,0.0037735849056603774,1C CANTONMENT RD,0.0015118674516151427,0.0020374509273421147,0.001509187197424744,0.004504119636924521
50,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,14,0.0037735849056603774,1D CANTONMENT RD,0.0013467735904562155,0.0015137545538542487,0.001333070421727661,0.00403857076601137
50,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,14,0.0037735849056603774,1E CANTONMENT RD,0.0014065219602196742,0.001200318031633413,0.0013866290202275491,0.0038141743827196845
50,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,14,0.0037735849056603774,1F CANTONMENT RD,0.0015295636834231118,0.0006264550978372461,0.0015008699308269918,0.00326272390437873
50,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,14,0.0037735849056603774,1G CANTONMENT RD,0.0017457993839346314,0.00038645954636563104,0.0011405866729095055,0.002878504852129019
