shs_year,elderly_pop,town_estate,number
2003,Elderly,Sengkang,6398
2003,Elderly,Punggol,1387
2003,Elderly,Sembawang,2262
2003,Elderly,Jurong West,11885
2003,Elderly,Tampines,12200
2003,Elderly,Hougang,12300
2003,Elderly,Yishun,7660
2003,Elderly,Choa Chu Kang,10395
2003,Elderly,Hougang,6229
2003,Elderly,Bukit Panjang,5578
2003,Elderly,Pasir Ris,6823
2003,Elderly,Bukit Batok,5354
2003,Elderly,Jurong East,6738
2003,Elderly,Serangoon,3829
2003,Elderly,Bishan,4510
2003,Elderly,Bukit Timah,1006
2003,Elderly,Bedok,16234
2003,Elderly,Bukit Merah,20261
2003,Elderly,Ang Mo Kio,13739
2003,Elderly,Toa Payoh,11553
2003,Elderly,Kallang/Whampoa,13865
2003,Elderly,Queenstown,12634
2003,Elderly,Geylang,8179
2003,Elderly,Clementi,7656
2003,Elderly,Central Area,5352
2003,Elderly,Marine Parade,3542
2003,Future Elderly,Sengkang,8599
2003,Future Elderly,Punggol,2715
2003,Future Elderly,Sembawang,2588
2003,Future Elderly,Jurong West,14095
2003,Future Elderly,Tampines,13420
2003,Future Elderly,Hougang,11744
2003,Future Elderly,Yishun,12755
2003,Future Elderly,Choa Chu Kang,11196
2003,Future Elderly,Hougang,8035
2003,Future Elderly,Bukit Panjang,6228
2003,Future Elderly,Pasir Ris,6504
2003,Future Elderly,Bukit Batok,8693
2003,Future Elderly,Jurong East,6128
2003,Future Elderly,Serangoon,5813
2003,Future Elderly,Bishan,5658
2003,Future Elderly,Bukit Timah,1016
2003,Future Elderly,Bedok,18793
2003,Future Elderly,Bukit Merah,21025
2003,Future Elderly,Ang Mo Kio,16453
2003,Future Elderly,Toa Payoh,13206
2003,Future Elderly,Kallang/Whampoa,11989
2003,Future Elderly,Queenstown,10822
2003,Future Elderly,Geylang,11857
2003,Future Elderly,Clementi,11030
2003,Future Elderly,Central Area,4174
2003,Future Elderly,Marine Parade,3249
2008,Elderly,Sengkang,9114
2008,Elderly,Punggol,2715
2008,Elderly,Sembawang,3409
2008,Elderly,Jurong West,13567
2008,Elderly,Tampines,17936
